name,count,id,lat,lng
Damen Ave & Pershing Rd,213,546,41.823192,-87.676597
Damen Ave & Pierce Ave,16705,TA1305000041,41.9093960065,-87.6776919292
Damen Ave & Sunnyside Ave,3238,TA1309000012,41.96325,-87.679258
Damen Ave & Thomas St (Augusta Blvd),7216,TA1307000070,41.901315,-87.677409
Damen Ave & Wabansia Ave,3394,20.0,41.9124403,-87.677280307
Damen Ave & Walnut (Lake) St,2280,KA17018054,41.885951,-87.677009
Damen Ave & Wellington Ave,4491,13268,41.93588,-87.67842
Damen Ave/Coulter St,316,PI00001,41.8492,-87.67564
Dan Ryan Woods & 83rd St,52,23123,41.742805,-87.680177
Dauphin Ave & 103rd St,88,20113,41.7072503677818,-87.60766267776489
Dauphin Ave & 87th St,96,20116,41.736441255,-87.601285577
Dayton St & North Ave,11068,13058,41.9105780349,-87.6494219288
Dearborn Pkwy & Delaware Pl,18433,TA1307000128,41.898969,-87.629912
Dearborn St & Adams St,8231,TA1305000005,41.8793563587,-87.6297910363
Dearborn St & Erie St,21866,13045,41.893992,-87.629318
Dearborn St & Monroe St,16934,TA1305000006,41.881319815,-87.6295209193
Dearborn St & Van Buren St,5180,624,41.876268,-87.629155
Delano Ct & Roosevelt Rd,6319,KA1706005007,41.867491,-87.63219
Desplaines St & Jackson Blvd,11917,15539,41.87811890091227,-87.64394760131836
Desplaines St & Kinzie St,20548,TA1306000003,41.888716036,-87.6444478533
Desplaines St & Randolph St,8112,15535,41.883703,-87.644238
Dodge Ave & Church St,873,600,42.048308,-87.698224
Dodge Ave & Main St,478,E011,42.03463185161588,-87.69918769598006
Dodge Ave & Mulford St,521,662,42.023463,-87.699595
Dorchester Ave & 49th St,1207,KA1503000069,41.805772,-87.592464
Dorchester Ave & 63rd St,950,KA1503000046,41.7804056457,-87.5914159893
Doty Ave & 111th St,83,20114,41.69501044938143,-87.59871482849121
Drake Ave & Addison St,1437,KA1504000142,41.947326,-87.717582
Drake Ave & Montrose Ave,1083,KA1504000097,41.96115407569,-87.7165690733
Drexel Ave & 60th St,3760,22005,41.785861,-87.604553
DuSable Lake Shore Dr & Belmont Ave,17006,TA1309000049,41.940775,-87.639192
DuSable Lake Shore Dr & Diversey Pkwy,18385,TA1309000039,41.932588,-87.636427
DuSable Lake Shore Dr & Monroe St,35852,13300,41.880958,-87.616743
DuSable Lake Shore Dr & North Blvd,30117,LF-005,41.911722,-87.626804
DuSable Lake Shore Dr & Wellington Ave,14961,TA1307000041,41.9366884494997,-87.63682901859283
DuSable Museum,589,KA1503000075,41.791568,-87.607852
Dusable Harbor,19343,KA1503000064,41.886976,-87.612813
East End Ave & 87th St,73,20231,41.73681521440671,-87.58280128240585
Eastlake Ter & Howard St,1403,523,42.01920250193227,-87.66430288553238
Eberhart Ave & 131st St,7,20211,41.657982,-87.61073183333333
Eberhart Ave & 61st St,262,KA1503000033,41.784071072761,-87.61448353528975
Eberhart Ave & 91st St,59,20110,41.729285,-87.611032
Eckhart Park,7603,13289,41.89637337,-87.66098386
Eggleston Ave & 69th St,389,650,41.768897653,-87.635783911
Eggleston Ave & 92nd St,19,20118,41.727607166666665,-87.63489133333333
Elizabeth St & 47th St,77,553,41.80839,-87.656526
Elizabeth St & 59th St,88,647,41.789885163,-87.654667377
Elizabeth St & 92nd St,48,20119,41.726847172,-87.654286861
Elizabeth St & Fulton St,5813,13197,41.88671077318443,-87.65965729951859
Elizabeth St & Randolph St,8906,23001,41.884336,-87.658902
Ellis Ave & 53rd St,5770,KA1503000052,41.79933626261,-87.6009581145
Ellis Ave & 55th St,18084,KA1504000076,41.79430062054,-87.6014497734
Ellis Ave & 58th St,8130,TA1309000011,41.788746,-87.601334
Ellis Ave & 60th St,21782,KA1503000014,41.78509714636,-87.6010727606
Ellis Ave & 83rd St,74,584,41.744123,-87.599034
Elmwood Ave & Austin St,739,598,42.025784,-87.684107
Elston Ave & Cortland St,9201,TA1305000039,41.91643342912655,-87.66674637794495
Elston Ave & George St,1536,472,41.93402316666667,-87.69086866666666
Elston Ave & Henderson St,767,433,41.94149316666667,-87.7008895
Elston Ave & Wabansia Ave,2572,TA1309000032,41.912919,-87.664169
Emerald Ave & 28th St,2593,TA1307000153,41.84358,-87.645368
Emerald Ave & 31st St,5236,TA1309000055,41.838198,-87.645143
Evans Ave & 75th St,123,570,41.75849,-87.60641
Evanston Civic Center,1391,661,42.057044,-87.686554
Ewing Ave & Burnham Greenway,79,20223,41.71274876109496,-87.53481388092041
